country,year_month,latitude,longitude,year,month,temperature_celsius,feels_like_celsius,humidity,wind_kph,gust_kph,pressure_mb,precip_mm,uv_index,cloud,visibility_km,air_quality_PM2.5,air_quality_PM10
Afghanistan,2024-05,34.52,69.18,2024.0,5.0,20.305882352941175,20.358823529411765,38.05882352941177,11.51764705882353,16.141176470588235,1010.0,0.10882352941176471,3.764705882352941,31.764705882352942,9.764705882352942,7.894117647058823,17.41176470588235
Afghanistan,2024-06,34.52,69.18,2024.0,6.0,25.59,24.603333333333335,24.833333333333332,17.11,20.336666666666666,1004.9,0.07266666666666667,6.5,20.833333333333332,9.8,7.38,16.78666666666667
Afghanistan,2024-07,34.52,69.18,2024.0,7.0,31.303448275862067,29.475862068965515,17.93103448275862,20.731034482758623,23.841379310344827,998.0,0.0003448275862068966,7.758620689655173,13.068965517241379,10.0,9.06551724137931,23.596551724137928
Afghanistan,2024-08,34.52,69.18,2024.0,8.0,30.848387096774193,29.316129032258065,20.548387096774192,20.19677419354839,23.238709677419354,1001.258064516129,0.037096774193548385,7.483870967741935,11.903225806451612,9.774193548387096,9.638709677419355,22.674193548387095
Afghanistan,2024-09,34.52,69.18,2024.0,9.0,28.216666666666665,26.39,13.733333333333333,12.223333333333333,14.063333333333333,1004.8,0.014333333333333335,7.0,13.066666666666666,9.833333333333334,20.99683333333333,42.791666666666664
Afghanistan,2024-10,34.51691290322581,69.1830870967742,2024.0,10.0,21.98709677419355,21.635483870967743,21.70967741935484,6.461290322580646,7.693548387096774,1011.8387096774194,0.10161290322580645,4.183870967741935,13.258064516129032,9.935483870967742,26.031290322580645,50.875
Afghanistan,2024-11,34.5167,69.1833,2024.0,11.0,15.67,15.656666666666666,27.466666666666665,4.6466666666666665,7.743333333333334,1015.9,0.002,2.76,19.666666666666668,9.966666666666667,19.048833333333334,29.760333333333335
Afghanistan,2024-12,34.5167,69.1833,2024.0,12.0,7.174193548387097,6.922580645161291,22.387096774193548,4.235483870967743,8.52258064516129,1018.3225806451613,0.0003225806451612903,0.6322580645161291,14.64516129032258,10.0,15.396774193548387,20.720000000000002
Afghanistan,2025-01,34.5167,69.1833,2025.0,1.0,1.3129032258064517,-0.6387096774193547,58.87096774193548,6.961290322580646,9.280645161290321,1022.8064516129032,0.07451612903225807,0.8548387096774194,36.096774193548384,9.064516129032258,28.251290322580644,33.96241935483871
Afghanistan,2025-02,34.5167,69.1833,2025.0,2.0,4.789285714285714,3.317857142857143,47.857142857142854,7.139285714285714,9.15,1019.3214285714286,0.05071428571428571,1.6500000000000001,29.25,9.428571428571429,22.21982142857143,41.03035714285714
Afghanistan,2025-03,34.5167,69.1833,2025.0,3.0,11.993548387096775,11.48709677419355,33.03225806451613,6.32258064516129,9.64516129032258,1015.258064516129,0.06387096774193549,3.5580645161290323,18.903225806451612,10.0,14.817903225806452,34.03403225806452
Afghanistan,2025-04,34.5167,69.1833,2025.0,4.0,22.986666666666668,22.366666666666667,18.4,6.613333333333333,9.156666666666666,1010.2,0.0013333333333333333,7.653333333333333,19.433333333333334,9.966666666666667,18.623333333333335,52.70033333333333
